TEAM,CODE,MATCHUP,PTS,2PM,2PA,3PM,3PA,FTM,FTA,DREB,OREB,REB,AST,STL,TOV,BLK,PF
Crvena Zvezda,RED,"2026-09-24, RED vs ZAL",77,17,44,10,29,13,19,24,15,39,21,7,14,3,26
Zalgiris,ZAL,"2026-09-24, RED vs ZAL",83,20,43,8,20,19,27,33,13,46,18,8,16,6,21
Dubai,DUB,"2026-09-24, DUB vs MAD",78,17,40,10,28,14,18,27,18,45,17,3,15,5,15
Real Madrid,MAD,"2026-09-24, DUB vs MAD",77,25,50,6,18,9,11,21,9,30,13,5,8,5,17
Hapoel TLV,HTA,"2026-09-24, HTA vs MUN",84,25,43,7,26,13,13,24,14,38,13,7,14,4,18
Bayern Munich,MUN,"2026-09-24, HTA vs MUN",86,21,39,9,24,17,19,22,9,31,20,10,12,1,22
FC Barcelona,BAR,"2026-09-24, BAR vs IST",89,21,35,12,29,11,14,22,9,31,14,4,12,3,19
Anadolu Efes,IST,"2026-09-24, BAR vs IST",82,24,41,4,20,22,25,24,9,33,16,5,12,1,18
Baskonia,BAS,"2026-09-24, BAS vs OLY",89,14,36,16,44,13,15,17,17,34,25,9,11,0,21
Olympiacos,OLY,"2026-09-24, BAS vs OLY",106,28,42,8,22,26,28,31,11,42,20,6,15,3,16
LDLC ASVEL,ASV,"2026-09-24, ASV vs TEL",84,11,24,16,34,14,20,23,6,29,20,8,15,3,20
Maccabi,TEL,"2026-09-24, ASV vs TEL",74,21,34,7,29,11,15,28,10,38,19,10,20,0,25
Panathinaikos,PAN,"2026-09-24, PAN vs PRS",91,20,37,10,29,21,22,30,15,45,16,10,17,8,17
Paris,PRS,"2026-09-24, PAN vs PRS",72,12,27,13,39,9,15,20,11,31,19,7,17,2,22
